feature,feature_idx,m_i,s_used,context,prompt,condition,c,sample,baseline_p,a_i_max,active,passed_floor,p_concept,gen_success_frac,gen_success_any,perplexity
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=4.0),4.0,9,0.5280292630195618,70.4028549194336,True,True,0.1298382580280304,0.03125,1,8.297186851501465
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,0,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.09375,1,6.066755294799805
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,1,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.03125,1,6.478765964508057
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,2,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.03125,1,7.2876176834106445
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,3,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.03125,1,6.288710594177246
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,4,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.03125,1,7.112666606903076
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,5,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.0625,1,3.920447587966919
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,6,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.0625,1,4.553598880767822
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,7,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.0625,1,12.477538108825684
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,8,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.03125,1,6.211203575134277
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,baseline,,9,0.4646338224411011,81.13362121582031,True,True,0.12174771726131439,0.0625,1,4.141147136688232
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,0,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,10.128426551818848
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,1,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,7.332027912139893
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,2,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,12.194597244262695
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,3,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,8.830734252929688
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,4,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,7.147957801818848
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,5,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,13.96430492401123
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,6,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,8.095833778381348
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,7,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,12.894668579101562
hair,8827,35.88200378417969,10.0,elicit,The barber picked up the scissors and began to cut his,amplify,,8,0.4646338224411011,81.13362121582031,True,True,0.17833659052848816,1.0,1,11.570854187011719
